Имя;Фамилия;Отчество;Дата рождения;Серия паспорта;Номер паспорта;Пол;Место рождения;Паспорт выдан;Дата выдачи;Код подразделения
Martha;Farmer;middle;01.03.2002;8847;938312;женский;Bofaju;Delpuduv;01.03.2002;780-002
Julian;Gill;middle;01.03.2002;9461;231301;мужской;Suzsodij;Ciwadlev;01.03.2002;780-002
Nannie;Norris;middle;01.03.2002;8640;169524;женский;Facdufo;Lufume;01.03.2002;780-002
Francis;Carlson;middle;01.03.2002;3788;492759;мужской;Zimrulvez;Febfusle;01.03.2002;770-001
Sara;Knight;middle;01.03.2002;3198;176345;мужской;Vutezliw;Uzfona;01.03.2002;780-002
Albert;Logan;middle;01.03.2002;1614;411229;мужской;Moelcug;Fagwechaw;01.03.2002;780-002
Ina;Nunez;middle;01.03.2002;5119;647840;мужской;Ezawuud;Kasutfov;01.03.2002;770-001
Matilda;Sims;middle;01.03.2002;2915;716082;мужской;Danuho;Menogacu;01.03.2002;162-003
Phoebe;Green;middle;01.03.2002;1870;663282;мужской;Liugapac;Ceecto;01.03.2002;780-002
Marcus;Huff;middle;01.03.2002;5484;170302;мужской;Sogacro;Jehalet;01.03.2002;162-003
Mathilda;Fox;middle;01.03.2002;5935;972956;женский;Keferu;Jonibeiw;01.03.2002;770-001
Lillian;Thompson;middle;01.03.2002;3154;901282;женский;Nabsutur;Tirtafe;01.03.2002;162-003
Lenora;Cannon;middle;01.03.2002;2370;951251;мужской;Edlotkag;Vomihla;01.03.2002;770-001
Elnora;Adkins;middle;01.03.2002;4648;184266;женский;Vusaglok;Esupeki;01.03.2002;770-001
Robert;Garner;middle;01.03.2002;3886;695435;мужской;Veulesir;Wezatuzi;01.03.2002;780-002
Jackson;Barker;middle;01.03.2002;4159;528853;женский;Lutzisno;Kaaretij;01.03.2002;162-003
Grace;Medina;middle;01.03.2002;3579;362966;женский;Esujatoli;Henisul;01.03.2002;770-001
Violet;Alexander;middle;01.03.2002;7029;495705;женский;Ilzerar;Gulitani;01.03.2002;780-002
Hannah;McGee;middle;01.03.2002;2918;279023;женский;Subviziv;Zezasan;01.03.2002;770-001
Leila;Gonzales;middle;01.03.2002;2842;102236;женский;Iconesja;Gupazit;01.03.2002;162-003
Ray;Saunders;middle;01.03.2002;5987;633133;женский;Baalugo;Cahermog;01.03.2002;780-002
Roger;Hall;middle;01.03.2002;1603;164235;мужской;Ipdassa;Zudcafa;01.03.2002;780-002
Theresa;Moss;middle;01.03.2002;4242;939066;мужской;Lugsakoz;Koitohu;01.03.2002;780-002
Gordon;Baldwin;middle;01.03.2002;1156;625619;женский;Bitmorzep;Ceasonib;01.03.2002;780-002
Troy;Day;middle;01.03.2002;2952;891874;женский;Niahahum;Azjetwe;01.03.2002;780-002
Joel;Chambers;middle;01.03.2002;2784;230218;мужской;Wejgehuw;Imwofki;01.03.2002;770-001
Gussie;Edwards;middle;01.03.2002;6083;937148;мужской;Ispamka;Muzjisid;01.03.2002;780-002
Josephine;Richards;middle;01.03.2002;9471;330414;женский;Duhiptuz;Japgiwi;01.03.2002;780-002
Elva;McCarthy;middle;01.03.2002;6593;405907;мужской;Cowzeeh;Bejnipe;01.03.2002;780-002
Birdie;Bowers;middle;01.03.2002;6989;420444;мужской;Luezvo;Jemmerhi;01.03.2002;770-001
Tillie;Meyer;middle;01.03.2002;8580;781003;женский;Lojzuzol;Loumikes;01.03.2002;780-002
Samuel;Jacobs;middle;01.03.2002;0555;938329;женский;Cufizi;Caibocu;01.03.2002;770-001
Eugene;Martinez;middle;01.03.2002;9701;337874;женский;Pogicuj;Adeotgit;01.03.2002;770-001
Carl;Hill;middle;01.03.2002;4855;174770;мужской;Ajuosisa;Tocwadat;01.03.2002;162-003
Dale;Cooper;middle;01.03.2002;0749;025591;мужской;Azacues;Ahaguri;01.03.2002;770-001
Alma;Wells;middle;01.03.2002;9699;367021;женский;Sagoig;Ranoklup;01.03.2002;780-002
Adele;Hardy;middle;01.03.2002;6842;006295;мужской;Ropningu;Jocufaen;01.03.2002;770-001
Ina;Webb;middle;01.03.2002;2951;288895;мужской;Ziteoh;Fazeip;01.03.2002;780-002
Hettie;Barnes;middle;01.03.2002;6836;983056;женский;Etcalza;Zuahpo;01.03.2002;162-003
Hettie;Cobb;middle;01.03.2002;7866;009636;женский;Pihauhi;Pubecuk;01.03.2002;780-002
Phoebe;Mack;middle;01.03.2002;6300;403338;женский;Obuemuale;Bemniken;01.03.2002;162-003
Evan;Adams;middle;01.03.2002;5124;540145;женский;Rekafi;Luwosij;01.03.2002;770-001
Alberta;Gregory;middle;01.03.2002;3925;940376;женский;Wimewtuz;Ataibaru;01.03.2002;780-002
Larry;Figueroa;middle;01.03.2002;7068;260487;мужской;Ajabiwcag;Wabusake;01.03.2002;780-002
Frederick;Kelley;middle;01.03.2002;6279;228357;женский;Dafnoom;Fohfoku;01.03.2002;162-003
Elizabeth;Nash;middle;01.03.2002;1185;810205;мужской;Ziowhos;Bozbunti;01.03.2002;780-002
Nancy;Howell;middle;01.03.2002;3356;212081;мужской;Ugnaba;Ocesupke;01.03.2002;770-001
Billy;Barber;middle;01.03.2002;0860;248804;мужской;Uleagaada;Cugkedci;01.03.2002;770-001
Elizabeth;Luna;middle;01.03.2002;1709;070130;мужской;Vafecfi;Sifirdum;01.03.2002;162-003
Elnora;Baker;middle;01.03.2002;0897;703457;мужской;Zofnalus;Lohminog;01.03.2002;780-002
Laura;Maxwell;middle;01.03.2002;4296;015644;женский;Pajohdo;Riwcuvi;01.03.2002;770-001
Jonathan;Holland;middle;01.03.2002;3327;679759;женский;Bicocat;Bihvufte;01.03.2002;770-001
Mamie;Bennett;middle;01.03.2002;1472;803666;женский;Replidhih;Vuzageh;01.03.2002;162-003
Hilda;Barton;middle;01.03.2002;1298;875382;мужской;Tuognu;Lezipug;01.03.2002;770-001
Ethel;Hoffman;middle;01.03.2002;4216;656998;женский;Bihribuno;Nujfopi;01.03.2002;162-003
Julian;Armstrong;middle;01.03.2002;6912;669333;женский;Milucige;Roirunad;01.03.2002;162-003
Angel;Townsend;middle;01.03.2002;8371;043443;женский;Amhiuc;Wovoweh;01.03.2002;770-001
Lucille;Warner;middle;01.03.2002;1460;447157;мужской;Amwoazo;Nuwbila;01.03.2002;162-003
Marcus;Lopez;middle;01.03.2002;3030;040521;мужской;Povibkoz;Zenafoza;01.03.2002;770-001
Alma;Benson;middle;01.03.2002;8849;816140;мужской;Vimaeri;Esunubuz;01.03.2002;162-003
Katie;Morales;middle;01.03.2002;3481;662890;женский;Wohbasit;Wazicoc;01.03.2002;162-003
Jessie;Farmer;middle;01.03.2002;8566;133168;мужской;Recokvar;Sujawli;01.03.2002;780-002
Derrick;Chandler;middle;01.03.2002;3829;632190;женский;Uzewwe;Biwloctag;01.03.2002;780-002
Dylan;Shaw;middle;01.03.2002;9689;526321;женский;Culmutun;Tuljormiw;01.03.2002;780-002
Myra;Lopez;middle;01.03.2002;6974;790940;женский;Naanke;Huabefem;01.03.2002;770-001
Carlos;Tucker;middle;01.03.2002;0220;081594;женский;Rimohefi;Wacjese;01.03.2002;780-002
Larry;Parsons;middle;01.03.2002;2897;963912;женский;Ciantaj;Pemsanwu;01.03.2002;780-002
Vernon;Wheeler;middle;01.03.2002;6992;176595;женский;Cigvahul;Lenbenaj;01.03.2002;770-001
Bradley;Spencer;middle;01.03.2002;5812;489611;женский;Pefehha;Kubajvu;01.03.2002;770-001
Walter;Riley;middle;01.03.2002;7132;107603;мужской;Dukenka;Liekpoh;01.03.2002;162-003
Micheal;Larson;middle;01.03.2002;1174;736103;женский;Jupepeh;Duziltim;01.03.2002;162-003
Cole;Henderson;middle;01.03.2002;3901;677006;женский;Omfuni;Juziwiha;01.03.2002;770-001
Lester;Conner;middle;01.03.2002;6800;764392;мужской;Faplikogi;Sudwosaz;01.03.2002;780-002
Micheal;Strickland;middle;01.03.2002;3130;347295;мужской;Dotrewder;Fakzuede;01.03.2002;780-002
Mitchell;Hoffman;middle;01.03.2002;8256;430907;женский;Gacakac;Mogakul;01.03.2002;780-002
Anne;Soto;middle;01.03.2002;3779;254385;мужской;Loluvoh;Zuvkujkic;01.03.2002;780-002
Oscar;Bowman;middle;01.03.2002;8614;508407;женский;Emejamju;Olatejwar;01.03.2002;770-001
Maude;Terry;middle;01.03.2002;7521;090345;женский;Rizejfag;Poepobu;01.03.2002;162-003
Maurice;Mullins;middle;01.03.2002;4250;602283;мужской;Tumoita;Isbovma;01.03.2002;162-003
Randy;Knight;middle;01.03.2002;1649;457990;мужской;Matoce;Dagkeva;01.03.2002;770-001
Lucy;Delgado;middle;01.03.2002;8141;681862;мужской;Egimurmiw;Ijhezip;01.03.2002;780-002
Cody;Moran;middle;01.03.2002;0252;865946;мужской;Cetmaraf;Alegufil;01.03.2002;770-001
Sallie;Holt;middle;01.03.2002;7378;150080;мужской;Racuefa;Melebu;01.03.2002;770-001
Roy;May;middle;01.03.2002;4309;243204;женский;Ejolafhof;Rokuzcod;01.03.2002;162-003
Terry;Page;middle;01.03.2002;7755;778883;мужской;Dumohzi;Kizeho;01.03.2002;780-002
Sue;Meyer;middle;01.03.2002;8395;593423;женский;Nucoha;Bivvespas;01.03.2002;780-002
Nettie;Franklin;middle;01.03.2002;3747;996074;мужской;Udujebeci;Hormemzof;01.03.2002;780-002
Hulda;Goodwin;middle;01.03.2002;4396;678320;мужской;Cokvaso;Nohvurop;01.03.2002;770-001
Chris;Robertson;middle;01.03.2002;0538;198272;мужской;Bobufbes;Kowkoehe;01.03.2002;162-003
Steven;Brady;middle;01.03.2002;4834;491544;мужской;Lagluvtu;Hucioto;01.03.2002;780-002
Lottie;Stokes;middle;01.03.2002;4736;501461;женский;Oviegmot;Vunbewiru;01.03.2002;770-001
Daisy;Schultz;middle;01.03.2002;0665;776669;мужской;Juomeno;Vudurok;01.03.2002;780-002
Gussie;Chapman;middle;01.03.2002;2083;706896;женский;Wapesuh;Jiulig;01.03.2002;770-001
Lettie;Alvarado;middle;01.03.2002;3556;826768;мужской;Asopuwni;Upuhugji;01.03.2002;770-001
Alfred;Maxwell;middle;01.03.2002;3760;596282;мужской;Nefithi;Zidirwi;01.03.2002;162-003
Lou;Vega;middle;01.03.2002;6764;711271;мужской;Jesasra;Abejecep;01.03.2002;162-003
Jay;Moreno;middle;01.03.2002;3648;175054;мужской;Pudecut;Voavtor;01.03.2002;770-001
Earl;Conner;middle;01.03.2002;2522;422260;женский;Rujufpa;Lecataz;01.03.2002;162-003
Nathan;Page;middle;01.03.2002;7509;509230;женский;Udjicob;Gefhucge;01.03.2002;162-003
Ralph;Holland;middle;01.03.2002;3675;646551;мужской;Unazvis;Dalrepguf;01.03.2002;780-002
Josie;Carr;middle;01.03.2002;1035;512725;женский;Hubaknum;Igmoggim;01.03.2002;780-002
Phillip;Osborne;middle;01.03.2002;8755;724699;женский;Zuriojo;Ojiducja;01.03.2002;770-001
Glen;Jacobs;middle;01.03.2002;6954;222220;женский;Wojnidku;Hisvahahu;01.03.2002;770-001
Luis;Christensen;middle;01.03.2002;2541;816566;мужской;Womkugvo;Patgucde;01.03.2002;770-001
Genevieve;Price;middle;01.03.2002;6483;740970;мужской;Movsileh;Conpummic;01.03.2002;162-003
Josie;Fowler;middle;01.03.2002;9661;662532;мужской;Giudido;Etpatreg;01.03.2002;780-002
Belle;Sherman;middle;01.03.2002;5772;156426;мужской;Fuurgu;Itadagu;01.03.2002;770-001
Connor;Love;middle;01.03.2002;3566;777255;женский;Coluses;Pajekag;01.03.2002;770-001
Nancy;Thomas;middle;01.03.2002;1272;749239;мужской;Ohuhadwe;Omerofa;01.03.2002;162-003
Warren;Sharp;middle;01.03.2002;7924;735053;женский;Tohour;Gipajohe;01.03.2002;770-001
Minerva;Ramirez;middle;01.03.2002;0425;974989;женский;Jerasa;Nuzfeog;01.03.2002;162-003
Cameron;Walton;middle;01.03.2002;2149;492626;мужской;Wuzazag;Sadoneb;01.03.2002;770-001
Isabella;Scott;middle;01.03.2002;6956;378532;мужской;Ivveane;Wevewuv;01.03.2002;780-002
Lily;Fletcher;middle;01.03.2002;0330;735573;женский;Pekilzo;Fezapgib;01.03.2002;780-002
Ethel;Watson;middle;01.03.2002;0026;512045;женский;Bivogij;Pubugvi;01.03.2002;162-003
Annie;Richardson;middle;01.03.2002;9459;441707;женский;Jebhahluh;Rewkolfi;01.03.2002;162-003
Lettie;Bryant;middle;01.03.2002;0237;819859;мужской;Gevabli;Vivafsi;01.03.2002;780-002
Leo;Hopkins;middle;01.03.2002;5224;713929;мужской;Bodavpu;Notgeflej;01.03.2002;770-001
Jonathan;King;middle;01.03.2002;1890;983122;мужской;Ucepajted;Alasizo;01.03.2002;770-001
Isabel;Morrison;middle;01.03.2002;4608;840657;мужской;Cuwedsa;Ocgioka;01.03.2002;162-003
Antonio;Moss;middle;01.03.2002;2768;613421;мужской;Ojomojop;Hodebo;01.03.2002;162-003
Andre;Herrera;middle;01.03.2002;9059;963446;женский;Tewlumu;Ijojacus;01.03.2002;780-002
Amelia;Payne;middle;01.03.2002;5176;106796;мужской;Anhigab;Lilasiz;01.03.2002;780-002
Loretta;Klein;middle;01.03.2002;8220;254711;женский;Kopijmi;Oltala;01.03.2002;162-003
Thomas;Shelton;middle;01.03.2002;8197;462919;мужской;Semiid;Giprocjo;01.03.2002;162-003
Don;Mack;middle;01.03.2002;7905;263300;женский;Ihujalil;Lalpuwso;01.03.2002;780-002
Verna;Hayes;middle;01.03.2002;6167;384714;женский;Jazveruv;Vuvzaig;01.03.2002;162-003
Bernice;Neal;middle;01.03.2002;2604;395705;мужской;Edputi;Ukifobde;01.03.2002;780-002
Benjamin;Grant;middle;01.03.2002;8965;235498;мужской;Ibiubkuz;Hebatvu;01.03.2002;162-003
Rebecca;Hardy;middle;01.03.2002;1790;993817;мужской;Idurajeg;Ukbipgit;01.03.2002;162-003
Glenn;Snyder;middle;01.03.2002;8004;228103;мужской;Daimme;Guohukec;01.03.2002;780-002
Shawn;Copeland;middle;01.03.2002;6701;854517;женский;Hotdafa;Makeip;01.03.2002;780-002
Ruby;Sutton;middle;01.03.2002;5341;142829;женский;Ohunaev;Ibnalsa;01.03.2002;780-002
Betty;Christensen;middle;01.03.2002;4523;917190;женский;Penicel;Gosdopez;01.03.2002;162-003
Earl;Davis;middle;01.03.2002;6489;698797;мужской;Lopulo;Torutudu;01.03.2002;780-002
Christine;Fletcher;middle;01.03.2002;3570;571046;женский;Ballijew;Hewubisa;01.03.2002;780-002
Hunter;Nash;middle;01.03.2002;5515;955047;мужской;Lujvezlij;Utepeji;01.03.2002;780-002
Adam;Graham;middle;01.03.2002;6511;323328;женский;Hugawola;Kuhoeti;01.03.2002;780-002
Adrian;Flowers;middle;01.03.2002;2845;700173;мужской;Vehmilam;Higabup;01.03.2002;780-002
Carolyn;Henderson;middle;01.03.2002;1644;055936;женский;Rugkadva;Cobpefuz;01.03.2002;780-002
Leo;Ball;middle;01.03.2002;2927;300399;женский;Ruvpezel;Dokueg;01.03.2002;770-001
Maggie;Ellis;middle;01.03.2002;2331;769755;мужской;Cirasul;Ortuflas;01.03.2002;162-003
Estelle;Lawson;middle;01.03.2002;1657;363650;женский;Fimjevuli;Josceha;01.03.2002;780-002
Edgar;Norris;middle;01.03.2002;7282;663697;женский;Wewavof;Pifsusron;01.03.2002;770-001
Vernon;McCarthy;middle;01.03.2002;2229;382929;женский;Lietosik;Wogudkut;01.03.2002;162-003
Bertha;Moody;middle;01.03.2002;6203;683442;женский;Lifohe;Mehezet;01.03.2002;770-001
Eric;Baldwin;middle;01.03.2002;2332;496955;женский;Sifzebe;Dabahke;01.03.2002;780-002
Jeffrey;Paul;middle;01.03.2002;5390;926882;мужской;Iwpehod;Cupeljur;01.03.2002;770-001
Ralph;Zimmerman;middle;01.03.2002;7509;454665;женский;Maposke;Judopa;01.03.2002;162-003
Herbert;Valdez;middle;01.03.2002;0305;515748;женский;Lagolik;Goguon;01.03.2002;770-001
Richard;West;middle;01.03.2002;8390;809550;женский;Acpipe;Ighiud;01.03.2002;162-003
Caroline;Jackson;middle;01.03.2002;2948;104360;женский;Ekohgek;Fotahuf;01.03.2002;162-003
Ola;Bowen;middle;01.03.2002;9863;320105;мужской;Wekhimo;Wibabata;01.03.2002;162-003
Ida;Obrien;middle;01.03.2002;0635;357014;мужской;Fiduliava;Febwuduni;01.03.2002;770-001
Edgar;Fernandez;middle;01.03.2002;8639;967134;женский;Cikmidvir;Karobsu;01.03.2002;162-003
Marc;Hudson;middle;01.03.2002;1611;901304;женский;Caganu;Wamium;01.03.2002;780-002
Cynthia;Curtis;middle;01.03.2002;8002;593161;мужской;Fewsoheg;Tahimukow;01.03.2002;770-001
Russell;Richards;middle;01.03.2002;6057;306552;женский;Tokevbi;Hodowil;01.03.2002;780-002
Frances;Clarke;middle;01.03.2002;0026;014910;мужской;Gepfemdi;Mudsaka;01.03.2002;770-001
Amy;Boone;middle;01.03.2002;4219;985283;женский;Wawulfi;Humditon;01.03.2002;162-003
Caroline;Ballard;middle;01.03.2002;8078;153474;мужской;Zahkivu;Sipcetwa;01.03.2002;780-002
Louise;Saunders;middle;01.03.2002;8569;343911;женский;Zowiupo;Madadsa;01.03.2002;780-002
Cory;Garrett;middle;01.03.2002;1443;816966;мужской;Woswoti;Disefozu;01.03.2002;780-002
Birdie;Cox;middle;01.03.2002;9395;709717;женский;Kobazma;Withepu;01.03.2002;162-003
Emma;Farmer;middle;01.03.2002;8226;796422;мужской;Heipetic;Pudridir;01.03.2002;780-002
Lura;Norris;middle;01.03.2002;4011;994124;мужской;Hualepok;Funioj;01.03.2002;770-001
Gavin;Johnston;middle;01.03.2002;5806;945617;мужской;Bovnezpad;Puumca;01.03.2002;780-002
Benjamin;Oliver;middle;01.03.2002;7274;629862;мужской;Gervafcus;Manwokcoj;01.03.2002;780-002
Noah;Baker;middle;01.03.2002;6284;693337;мужской;Gabonvob;Zihazaj;01.03.2002;162-003
Glen;Collins;middle;01.03.2002;4223;309269;мужской;Socjasu;Ipevanve;01.03.2002;770-001
Francisco;Norton;middle;01.03.2002;7268;031672;мужской;Gajogur;Ofciteno;01.03.2002;162-003
Sallie;Taylor;middle;01.03.2002;6676;761770;женский;Pakinhed;Vewossi;01.03.2002;162-003
Marcus;Schwartz;middle;01.03.2002;4580;198150;женский;Tifguki;Zamgevid;01.03.2002;162-003
Calvin;Howard;middle;01.03.2002;4287;175262;мужской;Lalosi;Peaguti;01.03.2002;780-002
Jose;Cannon;middle;01.03.2002;0152;290312;женский;Gatsofju;Uvnewasu;01.03.2002;780-002
Mamie;Holt;middle;01.03.2002;3794;478071;мужской;Efgogmup;Rewipikej;01.03.2002;770-001
Maurice;Price;middle;01.03.2002;1851;930649;мужской;Semimdej;Nijkirnog;01.03.2002;770-001
Franklin;Hamilton;middle;01.03.2002;1828;143710;мужской;Ucjifa;Jahdamguc;01.03.2002;770-001
Steven;Kelley;middle;01.03.2002;5693;587493;женский;Jomispog;Ibdomow;01.03.2002;162-003
Helen;Jimenez;middle;01.03.2002;6697;054733;мужской;Nunfaghu;Azonukzuv;01.03.2002;780-002
Carl;Frank;middle;01.03.2002;9388;526138;мужской;Cakoznuv;Bunisce;01.03.2002;770-001
Alejandro;Todd;middle;01.03.2002;2676;675752;мужской;Daugoca;Sawagri;01.03.2002;770-001
Lina;Barker;middle;01.03.2002;1029;373645;мужской;Polamtod;Tidbezap;01.03.2002;162-003
Ruby;Guzman;middle;01.03.2002;0159;706556;мужской;Romeasu;Kufsisac;01.03.2002;770-001
Randy;Myers;middle;01.03.2002;5989;363778;женский;Napubmu;Adejadcop;01.03.2002;780-002
Ina;Gilbert;middle;01.03.2002;2723;476807;женский;Uhrifdu;Jauberow;01.03.2002;780-002
Cody;Atkins;middle;01.03.2002;8899;660888;женский;Okeezasi;Mebirfu;01.03.2002;780-002
Sophie;Fox;middle;01.03.2002;3592;425828;мужской;Fotfahwe;Wefdosal;01.03.2002;770-001
Jason;Edwards;middle;01.03.2002;9184;464040;женский;Tadizaw;Hevzalne;01.03.2002;780-002
Jack;Walsh;middle;01.03.2002;0940;290324;женский;Ovutupwu;Avuufjof;01.03.2002;770-001
Mayme;Copeland;middle;01.03.2002;6610;251922;женский;Ehfettih;Lawkapah;01.03.2002;770-001
Bobby;Alexander;middle;01.03.2002;1260;656116;женский;Aboisevu;Ifemelon;01.03.2002;780-002
Jordan;Francis;middle;01.03.2002;2392;313321;мужской;Ewamwi;Paigiz;01.03.2002;162-003
Hester;Greene;middle;01.03.2002;4524;779917;женский;Lafugal;Carpoad;01.03.2002;780-002
Melvin;Flores;middle;01.03.2002;2360;810924;женский;Paumatu;Giluwgi;01.03.2002;770-001
Noah;Hughes;middle;01.03.2002;6374;514223;мужской;Itcedtov;Winelbi;01.03.2002;162-003
Dollie;Brady;middle;01.03.2002;4286;245475;женский;Eceazben;Huftujo;01.03.2002;162-003
Elmer;Payne;middle;01.03.2002;8694;788301;женский;Ridcejgir;Pauwuvu;01.03.2002;780-002
Robert;Stevens;middle;01.03.2002;5430;893437;женский;Dallubi;Pudtuvu;01.03.2002;780-002
Sadie;Mann;middle;01.03.2002;1045;616917;женский;Aheallin;Loguzwef;01.03.2002;780-002
Bruce;Flores;middle;01.03.2002;8168;396997;мужской;Bojfonnuf;Mekebafi;01.03.2002;162-003
Anne;Stanley;middle;01.03.2002;3298;857289;мужской;Uziwred;Cizejmod;01.03.2002;770-001
Curtis;Ferguson;middle;01.03.2002;8984;197932;женский;Ecmisop;Lafikeme;01.03.2002;770-001
Joel;Carter;middle;01.03.2002;4467;528844;мужской;Abezukwe;Utocifjeh;01.03.2002;780-002
Raymond;Warner;middle;01.03.2002;8933;357039;женский;Arsadik;Mukomif;01.03.2002;770-001
Arthur;Peters;middle;01.03.2002;8773;033568;мужской;Cidadegi;Nakosbeb;01.03.2002;162-003
Sean;Munoz;middle;01.03.2002;3275;492227;женский;Recjida;Jeacipu;01.03.2002;162-003
Helen;Luna;middle;01.03.2002;2251;188360;мужской;Sowumfen;Dozawtap;01.03.2002;780-002
Logan;Horton;middle;01.03.2002;7439;490813;женский;Gibovigas;Foheleji;01.03.2002;770-001
Austin;Edwards;middle;01.03.2002;6132;044143;мужской;Muvamfu;Rujebob;01.03.2002;162-003
Rosie;Allison;middle;01.03.2002;4619;455969;мужской;Zeviksi;Nemejud;01.03.2002;770-001
Max;Olson;middle;01.03.2002;9828;540070;женский;Fokelin;Rehacikij;01.03.2002;770-001
Matilda;Mills;middle;01.03.2002;7189;005928;женский;Ezosodca;Selipnir;01.03.2002;770-001
Flora;Wong;middle;01.03.2002;7694;706815;женский;Ladofen;Zuhbetadi;01.03.2002;162-003
Luella;Barber;middle;01.03.2002;3007;699913;мужской;Utepevpef;Cubkajta;01.03.2002;162-003
Theodore;Vega;middle;01.03.2002;7827;798966;женский;Tifijuj;Unitikan;01.03.2002;770-001
Angel;Valdez;middle;01.03.2002;7819;114894;мужской;Muruta;Vogifoh;01.03.2002;770-001
Amanda;Jennings;middle;01.03.2002;7087;060094;женский;Zuthutino;Cewutej;01.03.2002;780-002
Amy;Reeves;middle;01.03.2002;3311;327912;мужской;Lubmeapa;Uzukesi;01.03.2002;162-003
Jean;Garrett;middle;01.03.2002;5728;289549;мужской;Katume;Jaojabu;01.03.2002;162-003
Lucy;Austin;middle;01.03.2002;5031;803647;мужской;Tiregni;Agooctar;01.03.2002;780-002
Roy;Bradley;middle;01.03.2002;2940;898913;мужской;Iknefef;Houmsil;01.03.2002;162-003
Bryan;Tyler;middle;01.03.2002;9835;458315;женский;Upwobam;Azekavaz;01.03.2002;770-001
Eugenia;Rose;middle;01.03.2002;6360;921452;женский;Zedugto;Vidbizu;01.03.2002;162-003
Bertie;Fields;middle;01.03.2002;3513;284904;женский;Pednujmu;Bonpuime;01.03.2002;770-001
Dollie;Holland;middle;01.03.2002;1945;982996;мужской;Linulocem;Gujifecir;01.03.2002;162-003
Nathaniel;Hanson;middle;01.03.2002;1207;257884;женский;Rufajosez;Jakakda;01.03.2002;162-003
Clyde;Higgins;middle;01.03.2002;0355;802204;мужской;Liwuvi;Ruttodtoj;01.03.2002;770-001
Cameron;Harrison;middle;01.03.2002;9973;064550;женский;Tajebamo;Letnikjis;01.03.2002;780-002
Celia;Hughes;middle;01.03.2002;5993;483626;женский;Gocwoko;Sipebu;01.03.2002;780-002
Louisa;Davidson;middle;01.03.2002;0215;439338;женский;Zeatogam;Uvusulo;01.03.2002;780-002
Larry;Rios;middle;01.03.2002;6202;027787;мужской;Puwmopu;Tetewar;01.03.2002;780-002
Allen;Hopkins;middle;01.03.2002;8278;201145;мужской;Savminol;Kojnuphag;01.03.2002;780-002
Bobby;Gray;middle;01.03.2002;7433;519772;женский;Citorce;Mucugu;01.03.2002;770-001
Harold;Adams;middle;01.03.2002;9743;701395;женский;Zodowjah;Botamti;01.03.2002;780-002
Alan;Wolfe;middle;01.03.2002;5840;442714;мужской;Fekoge;Kuwuri;01.03.2002;780-002
Hulda;Crawford;middle;01.03.2002;3145;036229;мужской;Koiwubi;Pacbucun;01.03.2002;162-003
Josie;Cox;middle;01.03.2002;1878;651111;женский;Lawvimwo;Vujafbub;01.03.2002;162-003
Juan;Stokes;middle;01.03.2002;4657;875103;женский;Tiuloilo;Mofvamduc;01.03.2002;770-001
Lelia;Rodriguez;middle;01.03.2002;6042;109731;женский;Fiwufer;Apsovem;01.03.2002;770-001
